pairing,key,A-Paar,B-Paar,lift_100M,count_100M,lift_1B,count_1B,lift_ratio(1B/100M),count_ratio(1B/100M),status,stability_factor,score,C-Paar
A↔B,17·41||7·7,17·41,7·7,1.7696078431372548,1.0,1.380065005417118,36.0,0.7798705293769863,36.0,in_both,0.8008794546642577,3.9910237466417344,
A↔B,5·101||7·7,5·101,7·7,1.7696078431372548,2.0,1.2968695972891358,53.0,0.7328570577478773,26.5,in_both,0.7628902091264957,3.946577629005032,
A↔B,5·137||7·7,5·137,7·7,1.7696078431372548,1.0,1.3574409889348702,36.0,0.7670857666003145,36.0,in_both,0.7904159455038834,3.874309107820944,
A↔B,29·41||7·7,29·41,7·7,1.7696078431372548,1.0,1.5334055615745756,16.0,0.8665228104188738,16.0,in_both,0.8746864339035848,3.800044684578141,
A↔B,5·257||7·7,5·257,7·7,1.7696078431372548,1.0,1.5334055615745756,16.0,0.8665228104188738,16.0,in_both,0.8746864339035848,3.800044684578141,
A↔B,5·233||7·7,5·233,7·7,1.7696078431372548,1.0,1.5334055615745756,16.0,0.8665228104188738,16.0,in_both,0.8746864339035848,3.800044684578141,
A↔B,5·149||7·7,5·149,7·7,1.7696078431372548,1.0,1.3712184348695724,31.0,0.7748713593168776,31.0,in_both,0.7967757663015488,3.7865023038299257,
A↔B,5·113||7·7,5·113,7·7,1.7696078431372548,2.0,1.2938109425785482,45.0,0.7311286212909248,22.5,in_both,0.7615184140566361,3.7722105037627007,
A↔B,17·53||7·7,17·53,7·7,1.7696078431372548,1.0,1.4154512876073004,24.0,0.7998672096174219,24.0,in_both,0.8174545825220164,3.724455449173736,
A↔B,5·173||7·7,5·173,7·7,1.7696078431372548,1.0,1.3691121085487281,25.0,0.7736810807311373,25.0,in_both,0.7958010159722684,3.549829131199323,
A↔B,29·29||7·7,29·29,7·7,1.7696078431372548,1.0,1.3500635922558764,27.0,0.7629168222166172,27.0,in_both,0.7870258673858785,3.5405838183241096,
A↔B,5·197||7·7,5·197,7·7,1.7696078431372548,1.0,1.3676319873502971,22.0,0.7728446687519684,22.0,in_both,0.7951165869302034,3.409620686084893,
A↔B,17·41||7·19,,,,,1.2996632996632995,10.0,,,only_1B,0.85,2.6489880101183343,
A↔B,5·89||7·31,,,,,1.2979351032448379,10.0,,,only_1B,0.85,2.6454655811993826,
A↔B,5·149||7·19,,,,,1.3496503496503496,9.0,,,only_1B,0.85,2.641532059480232,
A↔B,29·29||7·19,,,,,1.3561703996486607,8.0,,,only_1B,0.85,2.5328392931893324,
A↔B,5·173||7·19,,,,,1.2996632996632995,7.0,,,only_1B,0.85,2.2971877771890705,
A↔B,17·29||19·67,,,,,1.6518187123127797,1.0,,,only_1B,0.85,0.9732104607503982,
A↔B,5·257||7·67,,,,,1.6381172839506173,1.0,,,only_1B,0.85,0.9651379202773528,
A↔B,5·233||7·67,,,,,1.6381172839506173,1.0,,,only_1B,0.85,0.9651379202773528,
A↔B,29·41||7·67,,,,,1.6381172839506173,1.0,,,only_1B,0.85,0.9651379202773528,
A↔B,5·173||7·103,,,,,1.6305683563748081,1.0,,,only_1B,0.85,0.960690280091743,
A↔B,5·149||19·43,,,,,1.6169078446306169,1.0,,,only_1B,0.85,0.9526418466713246,
A↔B,17·41||7·127,,,,,1.5725925925925925,1.0,,,only_1B,0.85,0.9265324034662585,
A↔B,5·89||7·199,,,,,1.5656342182890857,1.0,,,only_1B,0.85,0.9224327025659655,
A↔B,5·137||7·127,,,,,1.5468123861566485,1.0,,,only_1B,0.85,0.9113433476717299,
A↔B,5·113||7·151,,,,,1.5164285714285712,1.0,,,only_1B,0.85,0.8934419604853207,
A↔B,29·29||7·103,,,,,1.488779803646564,1.0,,,only_1B,0.85,0.877151994866374,
A↔B,5·89||31·43,,,,,1.4735380878014923,1.0,,,only_1B,0.85,0.8681719553562028,
A↔B,5·197||19·31,,,,,1.4526171741361613,1.0,,,only_1B,0.85,0.8558458738826199,
A↔B,5·89||19·67,,,,,1.4179328769410589,1.0,,,only_1B,0.85,0.8354107494937048,
A↔B,5·101||7·163,,,,,1.4115691489361701,1.0,,,only_1B,0.85,0.8316613993879316,
A↔B,17·41||19·43,,,,,1.4013201320132014,1.0,,,only_1B,0.85,0.8256229337818147,
A↔B,5·137||19·43,,,,,1.3783476708326572,1.0,,,only_1B,0.85,0.8120881315886703,
A↔B,17·53||19·31,,,,,1.3781239857189223,1.0,,,only_1B,0.85,0.8119563418886395,
A↔B,17·29||7·163,,,,,1.3679123711340206,1.0,,,only_1B,0.85,0.8059399128089235,
A↔B,5·197||7·79,,,,,1.3266677081705982,1.0,,,only_1B,0.85,0.7816395842396182,
A↔B,5·149||7·103,,,,,1.316997518610422,1.0,,,only_1B,0.85,0.7759421493048693,
A↔B,5·113||31·31,,,,,1.2945121951219511,1.0,,,only_1B,0.85,0.7626943565118592,
A↔B,5·113||7·139,,,,,1.2945121951219511,1.0,,,only_1B,0.85,0.7626943565118592,
A↔B,17·17||7·31,17·17,7·31,2.148809523809524,1.0,,,,,only_100M,0.75,,
A↔B,17·17||7·7,17·17,7·7,1.2640056022408963,5.0,,,,,only_100M,0.75,,
A↔B,17·29||7·7,17·29,7·7,1.7696078431372548,2.0,,,,,only_100M,0.75,,
A↔B,5·17||19·31,5·17,19·31,1.6409090909090909,1.0,,,,,only_100M,0.75,,
A↔B,5·17||7·103,5·17,7·103,2.0511363636363633,1.0,,,,,only_100M,0.75,,
A↔B,5·17||7·19,5·17,7·19,1.262237762237762,8.0,,,,,only_100M,0.75,,
A↔B,5·17||7·79,5·17,7·79,1.3674242424242422,1.0,,,,,only_100M,0.75,,
A↔B,5·29||19·19,5·29,19·19,1.5041666666666667,1.0,,,,,only_100M,0.75,,
A↔B,5·29||7·7,5·29,7·7,1.2387254901960782,14.0,,,,,only_100M,0.75,,
A↔B,5·41||7·43,5·41,7·43,1.6334841628959276,1.0,,,,,only_100M,0.75,,
A↔C,5·257||11·11,5·257,,2.4066666666666667,1.0,1.6723119338322174,12.0,0.6948664545009213,12.0,in_both,0.7331186937522118,3.144635967413104,11·11
A↔C,5·233||11·11,5·233,,2.4066666666666667,1.0,1.6723119338322174,12.0,0.6948664545009213,12.0,in_both,0.7331186937522118,3.144635967413104,11·11
A↔C,29·41||11·11,29·41,,2.4066666666666667,1.0,1.6723119338322174,12.0,0.6948664545009213,12.0,in_both,0.7331186937522118,3.144635967413104,11·11
A↔C,29·41||11·23,,,,,1.6817173637515843,5.0,,,only_1B,0.85,2.561248059407071,
A↔C,5·257||11·23,,,,,1.6817173637515843,5.0,,,only_1B,0.85,2.561248059407071,
A↔C,5·233||11·23,,,,,1.6817173637515843,5.0,,,only_1B,0.85,2.561248059407071,
A↔C,29·29||11·59,,,,,1.6532121998702143,3.0,,,only_1B,0.85,1.9480629378524843,
A↔C,5·257||11·107,,,,,2.327850877192983,1.0,,,only_1B,0.85,1.3715117814467648,
A↔C,5·233||11·107,,,,,2.327850877192983,1.0,,,only_1B,0.85,1.3715117814467648,
A↔C,29·41||11·107,,,,,2.327850877192983,1.0,,,only_1B,0.85,1.3715117814467648,
A↔C,5·149||11·191,,,,,2.2068607068607067,1.0,,,only_1B,0.85,1.3002273853216728,
A↔C,17·53||23·71,,,,,2.1347410759175465,1.0,,,only_1B,0.85,1.2577362942980888,
A↔C,17·41||47·47,,,,,2.081372549019608,1.0,,,only_1B,0.85,1.2262928869406367,
A↔C,29·41||23·47,,,,,2.057170542635659,1.0,,,only_1B,0.85,1.2120336673250476,
A↔C,5·257||23·47,,,,,2.057170542635659,1.0,,,only_1B,0.85,1.2120336673250476,
A↔C,5·233||23·47,,,,,2.057170542635659,1.0,,,only_1B,0.85,1.2120336673250476,
A↔C,29·29||11·167,,,,,2.051207729468599,1.0,,,only_1B,0.85,1.2085205262603376,
A↔C,5·137||47·47,,,,,2.04725168756027,1.0,,,only_1B,0.85,1.2061897248596425,
A↔C,5·149||11·179,,,,,2.016144349477683,1.0,,,only_1B,0.85,1.1878620557259727,
A↔C,5·173||23·71,,,,,1.982259570494865,1.0,,,only_1B,0.85,1.167897987562511,
A↔C,5·113||11·239,,,,,1.9657407407407408,1.0,,,only_1B,0.85,1.1581655043328234,
A↔C,5·197||11·131,,,,,1.9450297755382504,1.0,,,only_1B,0.85,1.1459631192665591,
A↔C,17·41||11·191,,,,,1.9126126126126124,1.0,,,only_1B,0.85,1.1268637339454497,
A↔C,5·149||23·83,,,,,1.898926654740608,1.0,,,only_1B,0.85,1.118800308300044,
A↔C,5·137||11·191,,,,,1.881258307487816,1.0,,,only_1B,0.85,1.108390557979131,
A↔C,5·113||11·227,,,,,1.862280701754386,1.0,,,only_1B,0.85,1.0972094251574118,
A↔C,17·53||11·131,,,,,1.845284658843981,1.0,,,only_1B,0.85,1.0871957798169922,
A↔C,5·197||23·59,,,,,1.8361081081081083,1.0,,,only_1B,0.85,1.081789184587632,
A↔C,5·113||23·107,,,,,1.8301724137931035,1.0,,,only_1B,0.85,1.0782920212753873,
A↔C,5·149||11·167,,,,,1.8145299145299143,1.0,,,only_1B,0.85,1.0690758501533753,
A↔C,29·29||23·71,,,,,1.8098891730605289,1.0,,,only_1B,0.85,1.0663416408179451,
