observable,cutoff,L_loglog_plus_gamma,sum_over_p,fit,residual
K_add_abs,100000,3.0206860225835888,0.10722683265289587,0.10722550277332837,1.329879567496528e-06
K_add_abs,200000,3.07914925063075,0.10767234553810372,0.10774552773163111,-7.318219352739352e-05
K_add_abs,500000,3.1515335676679204,0.10841444111736413,0.10838937947752961,2.5061639834525473e-05
K_add_abs,1000000,3.2030075793775437,0.10887998336389856,0.10884723600867048,3.27473552280827e-05
K_add_abs,2000000,3.251961221558952,0.10937192197123916,0.10928267408803241,8.924788320674448e-05
K_add_abs,5000000,3.3132018940325176,0.10983440904652024,0.10982740415534595,7.004891174292038e-06
K_add_abs,10000000,3.3571582592048017,0.11013618246652151,0.11021839192200532,-8.22094554838032e-05
GP_235,100000,3.0206860225835888,0.07701635339554948,0.0770163533955495,-2.7755575615628914e-17
GP_235,200000,3.07914925063075,0.07701635339554948,0.0770163533955495,-2.7755575615628914e-17
GP_235,500000,3.1515335676679204,0.07701635339554948,0.0770163533955495,-2.7755575615628914e-17
GP_235,1000000,3.2030075793775437,0.07701635339554948,0.0770163533955495,-2.7755575615628914e-17
GP_235,2000000,3.251961221558952,0.07701635339554948,0.0770163533955495,-2.7755575615628914e-17
GP_235,5000000,3.3132018940325176,0.07701635339554948,0.07701635339554949,-1.3877787807814457e-17
GP_235,10000000,3.3571582592048017,0.07701635339554948,0.07701635339554949,-1.3877787807814457e-17
BridgeP_M_abs,100000,3.0206860225835888,0.18424318604844533,0.18424185616887787,1.3298795674687724e-06
BridgeP_M_abs,200000,3.07914925063075,0.18468869893365317,0.1847618811271806,-7.318219352742128e-05
BridgeP_M_abs,500000,3.1515335676679204,0.18543079451291358,0.1854057328730791,2.506163983448384e-05
BridgeP_M_abs,1000000,3.2030075793775437,0.185896336759448,0.18586358940421996,3.2747355228041064e-05
BridgeP_M_abs,2000000,3.251961221558952,0.18638827536678862,0.18629902748358187,8.924788320674448e-05
BridgeP_M_abs,5000000,3.3132018940325176,0.18685076244206975,0.18684375755089544,7.004891174305916e-06
BridgeP_M_abs,10000000,3.3571582592048017,0.18715253586207095,0.1872347453175548,-8.220945548384484e-05
BridgeP_W_abs,100000,3.0206860225835888,0.08773903666083907,0.08773890367288234,1.329879567302239e-07
BridgeP_W_abs,200000,3.07914925063075,0.08778358794935985,0.08779090616871262,-7.3182193527643324e-06
BridgeP_W_abs,500000,3.1515335676679204,0.0878577975072859,0.08785529134330246,2.5061639834372818e-06
BridgeP_W_abs,1000000,3.2030075793775437,0.08790435173193935,0.08790107699641654,3.274735522806882e-06
BridgeP_W_abs,2000000,3.251961221558952,0.0879535455926734,0.08794462080435274,8.924788320666122e-06
BridgeP_W_abs,5000000,3.3132018940325176,0.08799979430020152,0.08799909381108409,7.004891174333672e-07
BridgeP_W_abs,10000000,3.3571582592048017,0.08802997164220162,0.08803819258775003,-8.220945548406688e-06
e_distance,100000,3.0206860225835888,0.6416886783012092,0.6417281939415104,-3.951564030113541e-05
e_distance,200000,3.07914925063075,0.6419944092836076,0.6420325066299241,-3.809734631643469e-05
e_distance,500000,3.1515335676679204,0.6424546819943606,0.6424092813454564,4.5400648904236895e-05
e_distance,1000000,3.2030075793775437,0.6427212774779095,0.6426772137776882,4.4063700221363966e-05
e_distance,2000000,3.251961221558952,0.6430060407050359,0.6429320271870307,7.401351800517819e-05
e_distance,5000000,3.3132018940325176,0.6432501913039111,0.6432507970241266,-6.057202154297059e-07
e_distance,10000000,3.3571582592048017,0.6433943394559619,0.6434795986162604,-8.525916029844538e-05
